interest_over_time_date,interest_over_time_hits,interest_over_time_keyword,interest_over_time_geo,interest_over_time_time,interest_over_time_gprop,interest_over_time_category
2004-01-01T00:00:00Z,50,depression,AU,all,web,0
2004-02-01T00:00:00Z,77,depression,AU,all,web,0
2004-03-01T00:00:00Z,100,depression,AU,all,web,0
2004-04-01T00:00:00Z,75,depression,AU,all,web,0
2004-05-01T00:00:00Z,96,depression,AU,all,web,0
2004-06-01T00:00:00Z,85,depression,AU,all,web,0
2004-07-01T00:00:00Z,85,depression,AU,all,web,0
2004-08-01T00:00:00Z,95,depression,AU,all,web,0
2004-09-01T00:00:00Z,85,depression,AU,all,web,0
2004-10-01T00:00:00Z,83,depression,AU,all,web,0
2004-11-01T00:00:00Z,81,depression,AU,all,web,0
2004-12-01T00:00:00Z,51,depression,AU,all,web,0
2005-01-01T00:00:00Z,47,depression,AU,all,web,0
2005-02-01T00:00:00Z,63,depression,AU,all,web,0
2005-03-01T00:00:00Z,77,depression,AU,all,web,0
2005-04-01T00:00:00Z,69,depression,AU,all,web,0
2005-05-01T00:00:00Z,90,depression,AU,all,web,0
2005-06-01T00:00:00Z,73,depression,AU,all,web,0
2005-07-01T00:00:00Z,67,depression,AU,all,web,0
2005-08-01T00:00:00Z,84,depression,AU,all,web,0
2005-09-01T00:00:00Z,71,depression,AU,all,web,0
2005-10-01T00:00:00Z,86,depression,AU,all,web,0
2005-11-01T00:00:00Z,69,depression,AU,all,web,0
2005-12-01T00:00:00Z,38,depression,AU,all,web,0
2006-01-01T00:00:00Z,61,depression,AU,all,web,0
2006-02-01T00:00:00Z,68,depression,AU,all,web,0
2006-03-01T00:00:00Z,73,depression,AU,all,web,0
2006-04-01T00:00:00Z,68,depression,AU,all,web,0
2006-05-01T00:00:00Z,85,depression,AU,all,web,0
2006-06-01T00:00:00Z,63,depression,AU,all,web,0
2006-07-01T00:00:00Z,53,depression,AU,all,web,0
2006-08-01T00:00:00Z,62,depression,AU,all,web,0
2006-09-01T00:00:00Z,62,depression,AU,all,web,0
2006-10-01T00:00:00Z,60,depression,AU,all,web,0
2006-11-01T00:00:00Z,62,depression,AU,all,web,0
2006-12-01T00:00:00Z,38,depression,AU,all,web,0
2007-01-01T00:00:00Z,36,depression,AU,all,web,0
2007-02-01T00:00:00Z,48,depression,AU,all,web,0
2007-03-01T00:00:00Z,60,depression,AU,all,web,0
2007-04-01T00:00:00Z,58,depression,AU,all,web,0
